has_null,gender,age,age_o,race,race_o,importance_same_race,importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sincere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,like,guess_prob_liked,met,match
0,female,24,24,European/Caucasian-American,European/Caucasian-American,2,5,100,0,0,0,0,0,6,5,7,7,9,7,45,5,25,20,0,5,6,7,8,7,9,8,0.39,4,5,8,7,0,0
1,female,25,27,European/Caucasian-American,European/Caucasian-American,8,4,35,20,20,20,0,5,7,8,6,5,8,4,35,10,35,10,10,0,7,9,10,7,8,9,-0.24,4,2,8,7,1,0
1,female,25,22,European/Caucasian-American,European/Caucasian-American,8,4,60,0,0,40,0,0,6,7,10,6,6,5,35,10,35,10,10,0,9,7,9,8,9,7,-0.14,4,2,8,7,0,0
1,female,25,22,European/Caucasian-American,Asian/PacificIslander/Asian-American,8,4,19,18,19,18,14,12,10,10,10,10,10,10,35,10,35,10,10,0,7,9,9,7,9,7,0.09,4,2,8,7,0,0
1,female,25,23,European/Caucasian-American,European/Caucasian-American,8,4,30,5,15,40,5,5,7,9,8,8,8,8,35,10,35,10,10,0,9,7,9,7,9,7,-0.04,4,2,8,7,0,0
1,female,25,24,European/Caucasian-American,Latino/HispanicAmerican,8,4,30,10,20,10,10,20,6,10,8,6,,,35,10,35,10,10,0,9,10,10,10,10,10,-0.14,4,2,9,,0,0
1,female,25,25,European/Caucasian-American,European/Caucasian-American,8,4,50,0,30,10,0,10,7,6,6,6,6,6,35,10,35,10,10,0,8,10,10,7,9,9,-0.3,4,2,8,,0,0
1,female,25,30,European/Caucasian-American,European/Caucasian-American,8,4,35,15,25,10,5,10,6,3,5,4,5,4,35,10,35,10,10,0,8,9,10,7,7,9,-0.26,4,2,8,7,0,0
1,female,25,27,European/Caucasian-American,European/Caucasian-American,8,4,33.33,11.11,11.11,11.11,11.11,22.22,4,5,6,4,6,4,35,10,35,10,10,0,7,9,9,8,9,7,0.29,4,2,8,7,0,0
1,female,25,28,European/Caucasian-American,European/Caucasian-American,8,4,50,0,25,10,0,15,7,7,6,8,7,7,35,10,35,10,10,0,9,9,9,9,9,9,-0.15,4,2,9,7,0,0
1,female,25,24,European/Caucasian-American,European/Caucasian-American,8,4,100,0,0,0,0,0,5,6,8,5,8,6,35,10,35,10,10,0,8,7,9,7,9,7,-0.47,4,2,8,7,0,0
0,female,23,27,European/Caucasian-American,European/Caucasian-American,1,1,35,20,20,20,0,5,6,7,8,7,7,5,20,20,20,20,10,10,4,10,8,5,8,7,-0.18,1,2,6,7,0,0
0,female,23,22,European/Caucasian-American,European/Caucasian-American,1,1,60,0,0,40,0,0,6,5,10,6,6,5,20,20,20,20,10,10,8,7,8,10,7,8,-0.18,1,2,8,1,1,0
0,female,23,22,European/Caucasian-American,Asian/PacificIslander/Asian-American,1,1,19,18,19,18,14,12,10,10,10,10,10,10,20,20,20,20,10,10,4,7,8,8,6,7,0.05,1,2,4,1,0,0
0,female,23,23,European/Caucasian-American,European/Caucasian-American,1,1,30,5,15,40,5,5,7,7,7,9,9,9,20,20,20,20,10,10,8,10,7,10,7,10,-0.18,1,2,8,10,1,1
0,female,23,24,European/Caucasian-American,Latino/HispanicAmerican,1,1,30,10,20,10,10,20,8,8,9,8,8,9,20,20,20,20,10,10,6,9,8,9,8,9,0.21,1,2,7,7,0,0
0,female,23,25,European/Caucasian-American,European/Caucasian-American,1,1,50,0,30,10,0,10,6,6,7,7,8,7,20,20,20,20,10,10,5,10,8,4,8,2,0.37,1,2,4,3,0,0
0,female,23,30,European/Caucasian-American,European/Caucasian-American,1,1,35,15,25,10,5,10,7,6,3,5,6,5,20,20,20,20,10,10,7,10,10,7,10,5,0.35,1,2,5,1,0,0
0,female,23,27,European/Caucasian-American,European/Caucasian-American,1,1,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,6,6,5,20,20,20,20,10,10,5,9,9,5,9,7,0.15,1,2,6,6,0,0
0,female,23,28,European/Caucasian-American,European/Caucasian-American,1,1,50,0,25,10,0,15,7,7,7,10,9,10,20,20,20,20,10,10,9,8,10,10,7,8,-0.47,1,2,8,8,0,1
0,female,23,24,European/Caucasian-American,European/Caucasian-American,1,1,100,0,0,0,0,0,7,8,8,7,8,7,20,20,20,20,10,10,8,9,10,10,8,8,-0.19,1,2,10,8,0,0
1,female,21,27,European/Caucasian-American,European/Caucasian-American,8,1,35,20,20,20,0,5,6,8,8,8,7,6,20,5,25,25,10,15,5,8,8,2,2,2,-0.43,7,10,7,5,0,0
1,female,21,22,European/Caucasian-American,European/Caucasian-American,8,1,60,0,0,40,0,0,6,7,10,7,6,5,20,5,25,25,10,15,8,6,6,5,5,5,0,7,10,6,4,1,0
1,female,21,22,European/Caucasian-American,Asian/PacificIslander/Asian-American,8,1,19,18,19,18,14,12,10,10,10,10,10,10,20,5,25,25,10,15,4,6,8,8,6,5,-0.17,7,10,6,5,1,0
1,female,21,23,European/Caucasian-American,European/Caucasian-American,8,1,30,5,15,40,5,5,6,8,6,8,10,10,20,5,25,25,10,15,8,5,5,7,7,9,0.08,7,10,8,2,1,1
1,female,21,24,European/Caucasian-American,Latino/HispanicAmerican,8,1,30,10,20,10,10,20,5,9,9,7,9,5,20,5,25,25,10,15,6,7,7,5,4,8,-0.16,7,10,7,4,0,0
1,female,21,25,European/Caucasian-American,European/Caucasian-American,8,1,50,0,30,10,0,10,5,8,7,7,7,7,20,5,25,25,10,15,5,6,7,5,7,8,0.06,7,10,7,3,0,0
1,female,21,30,European/Caucasian-American,European/Caucasian-American,8,1,35,15,25,10,5,10,2,3,4,4,5,3,20,5,25,25,10,15,6,6,8,5,5,6,-0.05,7,10,6,3,0,0
1,female,21,27,European/Caucasian-American,European/Caucasian-American,8,1,33.33,11.11,11.11,11.11,11.11,22.22,5,5,6,5,5,5,20,5,25,25,10,15,5,5,7,6,7,5,0.07,7,10,6,4,0,0
1,female,21,28,European/Caucasian-American,European/Caucasian-American,8,1,50,0,25,10,0,15,5,9,9,9,9,6,20,5,25,25,10,15,7,5,7,8,7,9,-0.13,7,10,9,4,0,1
1,female,21,24,European/Caucasian-American,European/Caucasian-American,8,1,100,0,0,0,0,0,3,10,7,7,10,5,20,5,25,25,10,15,9,6,7,9,6,5,-0.06,7,10,10,3,0,0
0,female,23,27,Asian/PacificIslander/Asian-American,European/Caucasian-American,1,1,35,20,20,20,0,5,7,9,8,9,8,4,10,25,20,25,5,15,6,9,7,6,7,6,0.33,4,3,6,6,0,0
0,female,23,22,Asian/PacificIslander/Asian-American,European/Caucasian-American,1,1,60,0,0,40,0,0,6,8,10,6,7,6,10,25,20,25,5,15,6,9,9,6,8,2,0.37,4,3,7,6,0,0
0,female,23,22,Asian/PacificIslander/Asian-American,Asian/PacificIslander/Asian-American,1,1,19,18,19,18,14,12,10,10,10,10,10,10,10,25,20,25,5,15,4,7,9,4,3,2,-0.51,4,3,6,2,1,0
0,female,23,23,Asian/PacificIslander/Asian-American,European/Caucasian-American,1,1,30,5,15,40,5,5,6,8,8,7,9,8,10,25,20,25,5,15,8,6,7,8,2,8,0.12,4,3,9,4,0,1
0,female,23,24,Asian/PacificIslander/Asian-American,Latino/HispanicAmerican,1,1,30,10,20,10,10,20,9,7,9,7,9,6,10,25,20,25,5,15,5,4,8,8,4,2,0.35,4,3,4,3,1,0
0,female,23,25,Asian/PacificIslander/Asian-American,European/Caucasian-American,1,1,50,0,30,10,0,10,6,6,8,8,8,7,10,25,20,25,5,15,3,7,6,1,1,1,0.19,4,3,2,2,0,0
0,female,23,30,Asian/PacificIslander/Asian-American,European/Caucasian-American,1,1,35,15,25,10,5,10,5,6,8,4,5,4,10,25,20,25,5,15,8,8,8,8,3,4,0.47,4,3,8,7,0,0
0,female,23,27,Asian/PacificIslander/Asian-American,European/Caucasian-American,1,1,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,7,8,5,10,25,20,25,5,15,4,8,9,2,8,3,0.03,4,3,5,5,0,0
0,female,23,28,Asian/PacificIslander/Asian-American,European/Caucasian-American,1,1,50,0,25,10,0,15,6,7,7,6,6,6,10,25,20,25,5,15,7,6,8,8,6,9,0.46,4,3,9,6,0,1
0,female,23,24,Asian/PacificIslander/Asian-American,European/Caucasian-American,1,1,100,0,0,0,0,0,7,10,10,6,10,7,10,25,20,25,5,15,8,9,9,9,10,7,0.43,4,3,9,8,0,0
0,female,22,27,Asian/PacificIslander/Asian-American,European/Caucasian-American,2,4,35,20,20,20,0,5,7,8,8,8,7,7,15,15,25,20,15,10,4,8,8,5,7,4,0.19,7,3,7,4,0,0
0,female,22,22,Asian/PacificIslander/Asian-American,European/Caucasian-American,2,4,60,0,0,40,0,0,7,9,10,6,6,5,15,15,25,20,15,10,6,6,8,4,9,4,0.21,7,3,7,3,1,0
0,female,22,22,Asian/PacificIslander/Asian-American,Asian/PacificIslander/Asian-American,2,4,19,18,19,18,14,12,10,10,10,10,10,10,15,15,25,20,15,10,3,6,8,7,8,8,0.52,7,3,7,8,1,0
0,female,22,23,Asian/PacificIslander/Asian-American,European/Caucasian-American,2,4,30,5,15,40,5,5,8,8,9,8,9,9,15,15,25,20,15,10,7,8,8,7,7,6,-0.46,7,3,8,6,1,1
0,female,22,24,Asian/PacificIslander/Asian-American,Latino/HispanicAmerican,2,4,30,10,20,10,10,20,8,7,9,6,9,5,15,15,25,20,15,10,4,7,7,4,8,5,-0.27,7,3,5,6,1,0
0,female,22,25,Asian/PacificIslander/Asian-American,European/Caucasian-American,2,4,50,0,30,10,0,10,8,8,8,6,6,6,15,15,25,20,15,10,4,8,7,4,5,4,0.59,7,3,5,5,0,0
0,female,22,30,Asian/PacificIslander/Asian-American,European/Caucasian-American,2,4,35,15,25,10,5,10,7,6,5,4,4,3,15,15,25,20,15,10,7,7,8,7,7,7,0.31,7,3,8,7,0,0
0,female,22,27,Asian/PacificIslander/Asian-American,European/Caucasian-American,2,4,33.33,11.11,11.11,11.11,11.11,22.22,8,7,6,7,7,5,15,15,25,20,15,10,5,7,8,5,9,5,0.08,7,3,5,7,0,0
0,female,22,28,Asian/PacificIslander/Asian-American,European/Caucasian-American,2,4,50,0,25,10,0,15,9,7,9,9,9,10,15,15,25,20,15,10,6,6,8,8,8,6,-0.34,7,3,6,6,0,1
0,female,22,24,Asian/PacificIslander/Asian-American,European/Caucasian-American,2,4,100,0,0,0,0,0,7,6,8,6,8,7,15,15,25,20,15,10,8,6,7,7,8,6,-0.16,7,3,7,5,0,0
1,female,25,27,European/Caucasian-American,European/Caucasian-American,1,1,35,20,20,20,0,5,8,7,6,6,6,5,9.09,18.18,27.27,18.18,18.18,9.09,5,8,7,4,7,5,-0.03,6,10,4,5,0,0
1,female,25,22,European/Caucasian-American,European/Caucasian-American,1,1,60,0,0,40,0,0,8,8,10,7,6,5,9.09,18.18,27.27,18.18,18.18,9.09,8,7,7,9,6,7,-0.11,6,10,8,7,0,1
1,female,25,22,European/Caucasian-American,Asian/PacificIslander/Asian-American,1,1,19,18,19,18,14,12,10,10,10,10,10,10,9.09,18.18,27.27,18.18,18.18,9.09,5,8,8,6,7,7,0.42,6,10,5,5,0,1
1,female,25,23,European/Caucasian-American,European/Caucasian-American,1,1,30,5,15,40,5,5,8,8,8,8,8,7,9.09,18.18,27.27,18.18,18.18,9.09,8,6,5,6,6,5,-0.4,6,10,5,6,0,1
1,female,25,24,European/Caucasian-American,Latino/HispanicAmerican,1,1,30,10,20,10,10,20,9,9,8,9,,7,9.09,18.18,27.27,18.18,18.18,9.09,6,8,8,5,6,7,-0.23,6,10,6,5,0,1
1,female,25,25,European/Caucasian-American,European/Caucasian-American,1,1,50,0,30,10,0,10,8,7,7,7,8,7,9.09,18.18,27.27,18.18,18.18,9.09,6,8,8,5,6,7,0.28,6,10,6,5,0,1
1,female,25,30,European/Caucasian-American,European/Caucasian-American,1,1,35,15,25,10,5,10,6,4,7,5,6,4,9.09,18.18,27.27,18.18,18.18,9.09,6,7,8,5,7,7,0.05,6,10,6,6,0,0
1,female,25,27,European/Caucasian-American,European/Caucasian-American,1,1,33.33,11.11,11.11,11.11,11.11,22.22,9,8,8,8,7,5,9.09,18.18,27.27,18.18,18.18,9.09,5,6,7,4,5,6,0.17,6,10,5,4,0,1
1,female,25,28,European/Caucasian-American,European/Caucasian-American,1,1,50,0,25,10,0,15,8,7,8,10,8,10,9.09,18.18,27.27,18.18,18.18,9.09,8,8,5,9,8,9,-0.47,6,10,7,10,0,1
1,female,25,24,European/Caucasian-American,European/Caucasian-American,1,1,100,0,0,0,0,0,8,10,9,9,8,8,9.09,18.18,27.27,18.18,18.18,9.09,7,6,8,7,9,8,-0.21,6,10,8,7,0,1
0,female,26,27,Other,European/Caucasian-American,1,1,35,20,20,20,0,5,6,8,7,8,7,5,20,10,20,30,10,10,8,10,9,8,7,6,0.19,6,15,5,5,0,0
0,female,26,22,Other,European/Caucasian-American,1,1,60,0,0,40,0,0,8,8,10,7,6,5,20,10,20,30,10,10,10,10,10,10,10,10,0.03,6,15,10,5,0,1
0,female,26,22,Other,Asian/PacificIslander/Asian-American,1,1,19,18,19,18,14,12,10,10,10,10,10,10,20,10,20,30,10,10,5,10,10,6,6,6,0.68,6,15,8,5,0,1
0,female,26,23,Other,European/Caucasian-American,1,1,30,5,15,40,5,5,7,8,7,8,8,7,20,10,20,30,10,10,10,9,8,8,7,7,-0.26,6,15,7,5,0,1
0,female,26,24,Other,Latino/HispanicAmerican,1,1,30,10,20,10,10,20,7,9,8,9,7,7,20,10,20,30,10,10,5,10,8,8,5,5,-0.01,6,15,5,5,0,1
0,female,26,25,Other,European/Caucasian-American,1,1,50,0,30,10,0,10,6,6,7,8,7,7,20,10,20,30,10,10,8,9,9,7,6,5,0.42,6,15,6,5,0,1
0,female,26,30,Other,European/Caucasian-American,1,1,35,15,25,10,5,10,8,6,7,8,6,5,20,10,20,30,10,10,6,8,9,6,6,6,0.21,6,15,7,5,0,1
0,female,26,27,Other,European/Caucasian-American,1,1,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,6,5,20,10,20,30,10,10,6,7,8,7,9,6,0.1,6,15,7,5,0,0
0,female,26,28,Other,European/Caucasian-American,1,1,50,0,25,10,0,15,6,6,6,7,6,6,20,10,20,30,10,10,8,5,5,6,5,5,-0.35,6,15,7,6,0,1
0,female,26,24,Other,European/Caucasian-American,1,1,100,0,0,0,0,0,5,6,6,6,6,6,20,10,20,30,10,10,7,8,7,8,7,8,-0.23,6,15,8,5,0,0
1,female,26,27,European/Caucasian-American,European/Caucasian-American,4,4,35,20,20,20,0,5,7,8,7,8,6,5,15,15,15,40,10,5,6,10,10,6,6,,0.3,7,10,6,3,0,0
1,female,26,22,European/Caucasian-American,European/Caucasian-American,4,4,60,0,0,40,0,0,1,1,1,1,1,1,15,15,15,40,10,5,1,1,1,1,1,,0.65,7,10,1,1,1,0
1,female,26,22,European/Caucasian-American,Asian/PacificIslander/Asian-American,4,4,19,18,19,18,14,12,10,10,10,10,10,10,15,15,15,40,10,5,6,10,10,10,6,,-0.15,7,10,7,6,0,1
1,female,26,23,European/Caucasian-American,European/Caucasian-American,4,4,30,5,15,40,5,5,7,8,7,9,8,8,15,15,15,40,10,5,10,10,10,10,10,,0.17,7,10,10,1,1,0
1,female,26,24,European/Caucasian-American,Latino/HispanicAmerican,4,4,30,10,20,10,10,20,6,9,9,7,8,,15,15,15,40,10,5,5,7,7,7,7,,0.24,7,10,6,1,0,0
1,female,26,25,European/Caucasian-American,European/Caucasian-American,4,4,50,0,30,10,0,10,,8,7,7,7,7,15,15,15,40,10,5,5,10,6,4,6,,0.15,7,10,6,1,0,0
1,female,26,30,European/Caucasian-American,European/Caucasian-American,4,4,35,15,25,10,5,10,7,7,4,3,4,4,15,15,15,40,10,5,5,10,8,6,9,,0.41,7,10,7,1,0,0
1,female,26,27,European/Caucasian-American,European/Caucasian-American,4,4,33.33,11.11,11.11,11.11,11.11,22.22,6,6,6,6,6,5,15,15,15,40,10,5,5,6,6,4,5,,0.07,7,10,5,5,0,0
1,female,26,28,European/Caucasian-American,European/Caucasian-American,4,4,50,0,25,10,0,15,7,7,7,7,6,6,15,15,15,40,10,5,9,9,9,9,9,9,0.49,7,10,9,9,0,1
1,female,26,24,European/Caucasian-American,European/Caucasian-American,4,4,100,0,0,0,0,0,6,6,6,6,6,6,15,15,15,40,10,5,9,9,8,10,8,8,0.08,7,10,9,10,0,0
0,male,27,21,European/Caucasian-American,Asian/PacificIslander/Asian-American,7,3,15,20,20,15,15,15,6,9,7,7,6,5,35,20,20,20,0,5,6,8,8,8,8,6,0.14,7,3,7,4,0,0
0,male,27,24,European/Caucasian-American,European/Caucasian-American,7,3,45,5,25,20,0,5,5,7,8,4,6,3,35,20,20,20,0,5,8,7,6,9,7,4,0.29,7,3,7,2,0,0
0,male,27,25,European/Caucasian-American,European/Caucasian-American,7,3,35,10,35,10,10,0,7,9,10,7,8,9,35,20,20,20,0,5,7,8,6,5,8,4,-0.24,7,3,5,2,1,0
0,male,27,23,European/Caucasian-American,European/Caucasian-American,7,3,20,20,20,20,10,10,4,10,8,5,8,7,35,20,20,20,0,5,6,7,8,7,7,5,-0.18,7,3,6,3,0,0
0,male,27,21,European/Caucasian-American,European/Caucasian-American,7,3,20,5,25,25,10,15,5,8,8,2,2,2,35,20,20,20,0,5,6,8,8,8,7,6,-0.43,7,3,6,5,0,0
0,male,27,23,European/Caucasian-American,Asian/PacificIslander/Asian-American,7,3,10,25,20,25,5,15,6,9,7,6,7,6,35,20,20,20,0,5,7,9,8,9,8,4,0.33,7,3,7,4,0,0
0,male,27,22,European/Caucasian-American,Asian/PacificIslander/Asian-American,7,3,15,15,25,20,15,10,4,8,8,5,7,4,35,20,20,20,0,5,7,8,8,8,7,7,0.19,7,3,7,4,0,0
0,male,27,25,European/Caucasian-American,European/Caucasian-American,7,3,9.09,18.18,27.27,18.18,18.18,9.09,5,8,7,4,7,5,35,20,20,20,0,5,8,7,6,6,6,5,-0.03,7,3,7,4,0,0
0,male,27,26,European/Caucasian-American,Other,7,3,20,10,20,30,10,10,8,10,9,8,7,6,35,20,20,20,0,5,6,8,7,8,7,5,0.19,7,3,6,4,0,0
1,male,27,26,European/Caucasian-American,European/Caucasian-American,7,3,15,15,15,40,10,5,6,10,10,6,6,,35,20,20,20,0,5,7,8,7,8,6,5,0.3,7,3,6,3,0,0
0,male,22,21,European/Caucasian-American,Asian/PacificIslander/Asian-American,1,1,15,20,20,15,15,15,7,8,7,8,5,6,60,0,0,40,0,0,7,8,10,7,7,5,0.54,7,20,8,4,0,0
0,male,22,24,European/Caucasian-American,European/Caucasian-American,1,1,45,5,25,20,0,5,8,5,6,6,9,6,60,0,0,40,0,0,7,6,10,6,6,5,0.18,7,20,8,4,0,0
0,male,22,25,European/Caucasian-American,European/Caucasian-American,1,1,35,10,35,10,10,0,9,7,9,8,9,7,60,0,0,40,0,0,6,7,10,6,6,5,-0.14,7,20,7,3,0,0
0,male,22,23,European/Caucasian-American,European/Caucasian-American,1,1,20,20,20,20,10,10,8,7,8,10,7,8,60,0,0,40,0,0,6,5,10,6,6,5,-0.18,7,20,6,3,1,0
0,male,22,21,European/Caucasian-American,European/Caucasian-American,1,1,20,5,25,25,10,15,8,6,6,5,5,5,60,0,0,40,0,0,6,7,10,7,6,5,0,7,20,7,4,1,0
0,male,22,23,European/Caucasian-American,Asian/PacificIslander/Asian-American,1,1,10,25,20,25,5,15,6,9,9,6,8,2,60,0,0,40,0,0,6,8,10,6,7,6,0.37,7,20,7,4,0,0
0,male,22,22,European/Caucasian-American,Asian/PacificIslander/Asian-American,1,1,15,15,25,20,15,10,6,6,8,4,9,4,60,0,0,40,0,0,7,9,10,6,6,5,0.21,7,20,8,4,1,0
0,male,22,25,European/Caucasian-American,European/Caucasian-American,1,1,9.09,18.18,27.27,18.18,18.18,9.09,8,7,7,9,6,7,60,0,0,40,0,0,8,8,10,7,6,5,-0.11,7,20,9,4,0,1
0,male,22,26,European/Caucasian-American,Other,1,1,20,10,20,30,10,10,10,10,10,10,10,10,60,0,0,40,0,0,8,8,10,7,6,5,0.03,7,20,8,4,0,1
1,male,22,26,European/Caucasian-American,European/Caucasian-American,1,1,15,15,15,40,10,5,1,1,1,1,1,,60,0,0,40,0,0,1,1,1,1,1,1,0.65,7,20,1,1,0,0
1,male,22,21,Asian/PacificIslander/Asian-American,Asian/PacificIslander/Asian-American,3,5,15,20,20,15,15,15,5,8,9,8,5,7,19,18,19,18,14,12,10,10,10,10,10,10,0.16,3,4,10,10,1,1
1,male,22,24,Asian/PacificIslander/Asian-American,European/Caucasian-American,3,5,45,5,25,20,0,5,5,8,9,6,3,4,19,18,19,18,14,12,10,10,10,10,10,10,0.1,3,4,10,10,0,0
1,male,22,25,Asian/PacificIslander/Asian-American,European/Caucasian-American,3,5,35,10,35,10,10,0,7,9,9,7,9,7,19,18,19,18,14,12,10,10,10,10,10,10,0.09,3,4,10,10,0,0
1,male,22,23,Asian/PacificIslander/Asian-American,European/Caucasian-American,3,5,20,20,20,20,10,10,4,7,8,8,6,7,19,18,19,18,14,12,10,10,10,10,10,10,0.05,3,4,10,10,,0
1,male,22,21,Asian/PacificIslander/Asian-American,European/Caucasian-American,3,5,20,5,25,25,10,15,4,6,8,8,6,5,19,18,19,18,14,12,10,10,10,10,10,10,-0.17,3,4,10,10,1,0
1,male,22,23,Asian/PacificIslander/Asian-American,Asian/PacificIslander/Asian-American,3,5,10,25,20,25,5,15,4,7,9,4,3,2,19,18,19,18,14,12,10,10,10,10,10,10,-0.51,3,4,10,10,1,0
1,male,22,22,Asian/PacificIslander/Asian-American,Asian/PacificIslander/Asian-American,3,5,15,15,25,20,15,10,3,6,8,7,8,8,19,18,19,18,14,12,10,10,10,10,10,10,0.52,3,4,10,10,,0
1,male,22,25,Asian/PacificIslander/Asian-American,European/Caucasian-American,3,5,9.09,18.18,27.27,18.18,18.18,9.09,5,8,8,6,7,7,19,18,19,18,14,12,10,10,10,10,10,10,0.42,3,4,10,10,0,1
1,male,22,26,Asian/PacificIslander/Asian-American,Other,3,5,20,10,20,30,10,10,5,10,10,6,6,6,19,18,19,18,14,12,10,10,10,10,10,10,0.68,3,4,10,10,0,1
1,male,22,26,Asian/PacificIslander/Asian-American,European/Caucasian-American,3,5,15,15,15,40,10,5,6,10,10,10,6,,19,18,19,18,14,12,10,10,10,10,10,10,-0.15,3,4,10,10,0,1
1,male,23,21,European/Caucasian-American,Asian/PacificIslander/Asian-American,1,1,15,20,20,15,15,15,7,6,8,7,6,8,30,5,15,40,5,5,7,8,9,8,9,8,0.61,8,15,7,7,0,1
1,male,23,24,European/Caucasian-American,European/Caucasian-American,1,1,45,5,25,20,0,5,7,9,7,6,5,7,30,5,15,40,5,5,9,9,9,9,9,9,-0.21,8,15,9,7,0,1
1,male,23,25,European/Caucasian-American,European/Caucasian-American,1,1,35,10,35,10,10,0,9,7,9,7,9,7,30,5,15,40,5,5,7,9,8,8,8,8,-0.04,8,15,7,7,0,0
